Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egz
Vardas1 Pavarde1 1 6 8 2 9 1
Vardas2 Pavarde2 2 8 10 3 6 1
Vardas3 Pavarde3 2 6 7 2 7 8
Vardas4 Pavarde4 4 8 3 10 2 8
Vardas5 Pavarde5 8 7 1 10 7 7
Vardas6 Pavarde6 5 6 4 5 10 1
Vardas7 Pavarde7 6 6 5 7 2 3
Vardas8 Pavarde8 2 4 5 10 7 8
Vardas9 Pavarde9 8 3 5 1 1 7
Vardas10 Pavarde10 1 6 8 8 2 2
Vardas11 Pavarde11 5 8 8 8 8 3
Vardas12 Pavarde12 3 8 7 7 3 2
Vardas13 Pavarde13 6 6 2 9 2 5
Vardas14 Pavarde14 6 8 5 9 6 1
Vardas15 Pavarde15 3 3 4 7 4 7
Vardas16 Pavarde16 4 8 2 8 6 5
Vardas17 Pavarde17 10 8 2 6 4 6
Vardas18 Pavarde18 9 9 10 2 2 1
Vardas19 Pavarde19 10 6 4 5 9 4
Vardas20 Pavarde20 1 3 5 4 5 3
Vardas21 Pavarde21 3 7 5 3 6 1
Vardas22 Pavarde22 1 5 6 10 6 10
Vardas23 Pavarde23 6 8 9 2 1 2
Vardas24 Pavarde24 3 3 4 5 6 10
Vardas25 Pavarde25 10 2 2 7 4 2
Vardas26 Pavarde26 3 3 1 2 3 3
Vardas27 Pavarde27 6 2 9 4 2 1
Vardas28 Pavarde28 3 5 6 8 7 4
Vardas29 Pavarde29 5 1 2 3 6 3
Vardas30 Pavarde30 10 5 9 5 6 2
Vardas31 Pavarde31 7 1 5 10 3 1
Vardas32 Pavarde32 9 7 2 5 4 10
Vardas33 Pavarde33 3 8 3 10 10 10
Vardas34 Pavarde34 6 7 6 5 9 3
Vardas35 Pavarde35 9 9 10 7 1 2
Vardas36 Pavarde36 8 4 10 6 7 1
Vardas37 Pavarde37 2 1 5 1 1 1
Vardas38 Pavarde38 2 2 4 10 4 6
Vardas39 Pavarde39 9 7 6 2 3 10
Vardas40 Pavarde40 8 5 10 1 1 9
Vardas41 Pavarde41 8 7 2 8 10 9
Vardas42 Pavarde42 9 7 4 1 7 4
Vardas43 Pavarde43 2 1 8 3 10 1
Vardas44 Pavarde44 4 7 4 5 1 10
Vardas45 Pavarde45 10 2 7 7 5 4
Vardas46 Pavarde46 4 2 9 7 6 1
Vardas47 Pavarde47 2 10 1 4 4 6
Vardas48 Pavarde48 1 2 1 3 9 1
Vardas49 Pavarde49 9 6 1 8 9 4
Vardas50 Pavarde50 5 10 6 1 5 4
Vardas51 Pavarde51 10 4 5 7 4 6
Vardas52 Pavarde52 10 3 8 5 7 4
Vardas53 Pavarde53 9 4 2 8 5 10
Vardas54 Pavarde54 9 5 4 5 1 10
Vardas55 Pavarde55 4 2 5 1 4 4
Vardas56 Pavarde56 6 2 6 9 6 8
Vardas57 Pavarde57 2 5 9 9 3 8
Vardas58 Pavarde58 9 10 1 6 5 7
Vardas59 Pavarde59 9 1 6 1 7 8
Vardas60 Pavarde60 6 8 6 1 8 10
Vardas61 Pavarde61 8 5 8 10 2 1
Vardas62 Pavarde62 2 4 10 4 1 1
Vardas63 Pavarde63 2 9 7 4 5 9
Vardas64 Pavarde64 10 3 9 7 7 1
Vardas65 Pavarde65 6 5 4 9 2 3
Vardas66 Pavarde66 2 4 5 5 6 6
Vardas67 Pavarde67 9 10 7 1 6 4
Vardas68 Pavarde68 10 8 7 10 7 7
Vardas69 Pavarde69 6 1 1 4 2 7
Vardas70 Pavarde70 2 5 3 2 9 10
Vardas71 Pavarde71 7 2 5 6 10 8
Vardas72 Pavarde72 10 8 10 1 7 8
Vardas73 Pavarde73 7 5 1 4 9 10
Vardas74 Pavarde74 3 4 2 3 8 5
Vardas75 Pavarde75 7 1 1 1 7 2
Vardas76 Pavarde76 6 4 7 7 1 8
Vardas77 Pavarde77 10 1 3 10 9 8
Vardas78 Pavarde78 6 7 7 8 2 4
Vardas79 Pavarde79 5 1 5 8 7 1
Vardas80 Pavarde80 2 4 6 10 9 2
Vardas81 Pavarde81 6 1 4 7 8 10
Vardas82 Pavarde82 1 5 7 4 8 4
Vardas83 Pavarde83 4 8 9 7 9 1
Vardas84 Pavarde84 8 7 1 4 10 6
Vardas85 Pavarde85 8 5 1 2 6 6
Vardas86 Pavarde86 2 2 6 6 9 10
Vardas87 Pavarde87 2 4 1 5 3 7
Vardas88 Pavarde88 10 7 10 10 3 7
Vardas89 Pavarde89 10 9 7 2 10 7
Vardas90 Pavarde90 3 2 8 1 3 4
Vardas91 Pavarde91 9 3 7 4 2 10
Vardas92 Pavarde92 5 1 7 8 3 8
Vardas93 Pavarde93 7 3 7 2 10 2
Vardas94 Pavarde94 4 10 10 8 3 4
Vardas95 Pavarde95 2 3 10 1 2 2
Vardas96 Pavarde96 3 1 6 5 4 7
Vardas97 Pavarde97 1 7 3 7 3 4
Vardas98 Pavarde98 2 7 8 6 5 10
Vardas99 Pavarde99 10 4 10 9 2 10
Vardas100 Pavarde100 9 8 8 4 9 3
Vardas101 Pavarde101 10 8 6 6 10 8
Vardas102 Pavarde102 3 9 7 9 9 6
Vardas103 Pavarde103 4 6 9 1 9 9
Vardas104 Pavarde104 10 1 1 2 3 8
Vardas105 Pavarde105 3 3 7 9 5 7
Vardas106 Pavarde106 7 5 2 2 6 8
Vardas107 Pavarde107 3 4 1 8 5 10
Vardas108 Pavarde108 1 5 2 9 2 8
Vardas109 Pavarde109 4 2 5 6 4 10
Vardas110 Pavarde110 4 8 9 1 10 9
Vardas111 Pavarde111 7 2 8 5 4 3
Vardas112 Pavarde112 5 6 2 3 10 4
Vardas113 Pavarde113 10 4 8 3 1 8
Vardas114 Pavarde114 3 8 9 2 3 2
Vardas115 Pavarde115 5 1 1 6 1 6
Vardas116 Pavarde116 10 3 7 2 4 4
Vardas117 Pavarde117 10 3 10 10 1 4
Vardas118 Pavarde118 8 7 4 2 6 8
Vardas119 Pavarde119 8 5 1 6 2 9
Vardas120 Pavarde120 9 10 4 5 8 7
Vardas121 Pavarde121 6 6 3 2 3 3
Vardas122 Pavarde122 8 1 2 4 3 7
Vardas123 Pavarde123 3 1 6 4 8 7
Vardas124 Pavarde124 7 5 10 9 8 10
Vardas125 Pavarde125 7 5 1 5 2 9
Vardas126 Pavarde126 6 4 8 8 2 5
Vardas127 Pavarde127 6 6 4 6 2 4
Vardas128 Pavarde128 4 5 7 9 5 3
Vardas129 Pavarde129 9 7 6 8 4 8
Vardas130 Pavarde130 10 5 8 2 10 5
Vardas131 Pavarde131 2 5 10 10 10 8
Vardas132 Pavarde132 1 3 1 5 4 2
Vardas133 Pavarde133 6 7 5 6 1 7
Vardas134 Pavarde134 8 3 5 5 7 4
Vardas135 Pavarde135 6 10 5 6 1 6
Vardas136 Pavarde136 6 3 1 4 4 6
Vardas137 Pavarde137 9 10 4 5 10 2
Vardas138 Pavarde138 9 1 10 4 3 9
Vardas139 Pavarde139 2 7 3 2 10 3
Vardas140 Pavarde140 7 5 5 5 8 6
Vardas141 Pavarde141 8 6 3 5 10 2
Vardas142 Pavarde142 2 3 5 10 8 6
Vardas143 Pavarde143 8 3 9 4 8 6
Vardas144 Pavarde144 5 5 1 5 2 2
Vardas145 Pavarde145 3 7 8 2 9 1
Vardas146 Pavarde146 4 6 5 4 6 4
Vardas147 Pavarde147 7 4 6 2 2 8
Vardas148 Pavarde148 7 8 2 6 3 9
Vardas149 Pavarde149 10 7 5 10 2 8
Vardas150 Pavarde150 7 4 7 5 6 10
Vardas151 Pavarde151 2 6 3 9 9 4
Vardas152 Pavarde152 5 2 2 4 3 1
Vardas153 Pavarde153 7 2 5 2 8 7
Vardas154 Pavarde154 1 7 6 8 3 10
Vardas155 Pavarde155 2 9 2 9 7 1
Vardas156 Pavarde156 8 6 4 8 1 6
Vardas157 Pavarde157 1 3 4 10 2 1
Vardas158 Pavarde158 6 7 7 4 9 7
Vardas159 Pavarde159 5 8 3 3 3 3
Vardas160 Pavarde160 3 2 10 4 8 9
Vardas161 Pavarde161 7 9 10 9 8 10
Vardas162 Pavarde162 6 7 4 9 3 9
Vardas163 Pavarde163 6 7 4 9 5 10
Vardas164 Pavarde164 6 4 2 2 6 4
Vardas165 Pavarde165 6 8 6 4 10 6
Vardas166 Pavarde166 9 10 3 10 5 1
Vardas167 Pavarde167 2 2 3 9 4 1
Vardas168 Pavarde168 7 10 1 3 4 2
Vardas169 Pavarde169 3 9 2 5 3 7
Vardas170 Pavarde170 6 9 6 1 6 5
Vardas171 Pavarde171 3 5 7 3 5 2
Vardas172 Pavarde172 5 9 2 2 5 3
Vardas173 Pavarde173 1 10 7 10 7 1
Vardas174 Pavarde174 4 9 1 1 5 8
Vardas175 Pavarde175 2 3 9 9 5 10
Vardas176 Pavarde176 5 2 1 7 6 2
Vardas177 Pavarde177 10 5 2 7 5 8
Vardas178 Pavarde178 7 2 4 6 7 7
Vardas179 Pavarde179 2 7 8 9 7 1
Vardas180 Pavarde180 9 9 10 2 10 10
Vardas181 Pavarde181 1 7 8 6 3 6
Vardas182 Pavarde182 7 6 4 1 7 3
Vardas183 Pavarde183 2 6 10 5 10 4
Vardas184 Pavarde184 9 8 2 3 10 9
Vardas185 Pavarde185 3 2 4 10 6 6
Vardas186 Pavarde186 6 5 9 3 6 8
Vardas187 Pavarde187 10 10 10 8 3 9
Vardas188 Pavarde188 4 10 3 6 1 5
Vardas189 Pavarde189 6 10 3 9 3 3
Vardas190 Pavarde190 4 9 7 3 4 10
Vardas191 Pavarde191 7 1 4 6 4 2
Vardas192 Pavarde192 7 9 4 5 5 5
Vardas193 Pavarde193 10 8 5 5 1 6
Vardas194 Pavarde194 3 9 2 1 2 6
Vardas195 Pavarde195 3 3 1 2 7 3
Vardas196 Pavarde196 3 7 10 9 1 5
Vardas197 Pavarde197 6 9 9 8 10 7
Vardas198 Pavarde198 7 6 1 1 4 7
Vardas199 Pavarde199 5 3 1 5 10 7
Vardas200 Pavarde200 3 10 5 5 10 6
Vardas201 Pavarde201 3 10 5 2 3 5
Vardas202 Pavarde202 6 7 6 1 5 2
Vardas203 Pavarde203 10 10 1 8 7 5
Vardas204 Pavarde204 4 3 3 10 8 2
Vardas205 Pavarde205 8 4 10 6 8 10
Vardas206 Pavarde206 8 4 7 9 10 6
