Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egz
Vardas1 Pavarde1 8 2 3 7 1 4
Vardas2 Pavarde2 2 5 9 4 6 3
Vardas3 Pavarde3 9 10 8 8 5 4
Vardas4 Pavarde4 2 6 3 10 7 5
Vardas5 Pavarde5 3 2 4 3 2 5
Vardas6 Pavarde6 7 4 4 3 10 8
Vardas7 Pavarde7 5 6 9 1 6 4
Vardas8 Pavarde8 4 5 4 5 8 10
Vardas9 Pavarde9 1 10 2 3 7 6
Vardas10 Pavarde10 9 1 2 4 1 2
Vardas11 Pavarde11 3 3 3 4 5 6
Vardas12 Pavarde12 8 7 10 10 4 1
Vardas13 Pavarde13 9 9 8 2 5 5
Vardas14 Pavarde14 10 8 8 3 1 7
Vardas15 Pavarde15 3 8 2 7 10 1
Vardas16 Pavarde16 1 3 3 6 4 7
Vardas17 Pavarde17 5 4 1 4 10 3
Vardas18 Pavarde18 7 9 3 10 3 2
Vardas19 Pavarde19 7 5 9 1 5 2
Vardas20 Pavarde20 2 10 8 7 9 3
Vardas21 Pavarde21 1 1 9 10 7 7
Vardas22 Pavarde22 3 10 9 2 3 3
Vardas23 Pavarde23 6 8 9 1 1 10
Vardas24 Pavarde24 8 9 10 6 1 9
Vardas25 Pavarde25 8 4 2 2 4 9
Vardas26 Pavarde26 8 7 1 9 5 1
Vardas27 Pavarde27 9 1 6 9 7 9
Vardas28 Pavarde28 6 1 4 8 7 8
Vardas29 Pavarde29 3 6 6 7 8 7
Vardas30 Pavarde30 8 5 1 4 3 1
Vardas31 Pavarde31 9 7 8 3 5 10
Vardas32 Pavarde32 9 8 5 7 4 6
Vardas33 Pavarde33 5 7 6 7 10 2
Vardas34 Pavarde34 5 4 1 1 9 5
Vardas35 Pavarde35 1 2 3 7 5 3
Vardas36 Pavarde36 3 8 4 3 9 10
Vardas37 Pavarde37 1 7 4 4 6 2
Vardas38 Pavarde38 8 1 10 7 10 3
Vardas39 Pavarde39 3 5 7 6 5 1
Vardas40 Pavarde40 3 3 4 4 1 5
Vardas41 Pavarde41 8 8 10 9 7 6
Vardas42 Pavarde42 6 8 4 5 10 7
Vardas43 Pavarde43 6 1 2 4 1 5
Vardas44 Pavarde44 5 10 1 2 5 2
Vardas45 Pavarde45 8 7 10 9 8 4
Vardas46 Pavarde46 3 7 6 8 4 4
Vardas47 Pavarde47 2 9 4 6 2 5
Vardas48 Pavarde48 1 7 3 9 5 1
Vardas49 Pavarde49 4 5 10 4 9 7
Vardas50 Pavarde50 5 1 2 2 8 5
Vardas51 Pavarde51 2 9 8 9 6 4
Vardas52 Pavarde52 3 3 8 9 8 1
Vardas53 Pavarde53 1 8 9 6 8 1
Vardas54 Pavarde54 9 8 9 10 3 7
Vardas55 Pavarde55 3 5 3 5 9 5
Vardas56 Pavarde56 7 9 3 6 4 2
Vardas57 Pavarde57 10 9 1 4 9 7
Vardas58 Pavarde58 4 1 8 7 5 4
Vardas59 Pavarde59 4 1 5 9 4 7
Vardas60 Pavarde60 10 9 5 3 7 4
Vardas61 Pavarde61 8 6 3 1 8 6
Vardas62 Pavarde62 5 4 3 1 8 3
Vardas63 Pavarde63 5 7 2 8 3 7
Vardas64 Pavarde64 1 1 2 6 10 9
Vardas65 Pavarde65 9 2 6 6 10 4
Vardas66 Pavarde66 7 4 8 5 6 1
Vardas67 Pavarde67 4 8 4 8 9 5
Vardas68 Pavarde68 6 4 7 8 2 4
Vardas69 Pavarde69 1 10 10 7 2 3
Vardas70 Pavarde70 5 10 3 9 2 3
Vardas71 Pavarde71 4 3 1 1 7 2
Vardas72 Pavarde72 2 7 2 3 2 7
Vardas73 Pavarde73 2 4 7 2 8 5
Vardas74 Pavarde74 10 3 4 3 5 5
Vardas75 Pavarde75 10 9 10 1 3 1
Vardas76 Pavarde76 7 4 7 2 9 2
Vardas77 Pavarde77 1 9 4 9 7 3
Vardas78 Pavarde78 5 5 5 9 9 2
Vardas79 Pavarde79 2 1 4 10 6 1
Vardas80 Pavarde80 3 9 8 5 9 1
Vardas81 Pavarde81 3 2 7 10 2 9
Vardas82 Pavarde82 3 4 5 7 3 6
Vardas83 Pavarde83 7 7 2 2 8 7
Vardas84 Pavarde84 2 10 1 9 9 3
Vardas85 Pavarde85 8 1 8 2 6 8
Vardas86 Pavarde86 2 7 3 3 10 10
Vardas87 Pavarde87 7 1 1 9 9 6
Vardas88 Pavarde88 2 6 6 1 6 2
Vardas89 Pavarde89 3 6 3 7 9 4
Vardas90 Pavarde90 6 7 2 6 10 7
Vardas91 Pavarde91 1 5 7 2 10 5
Vardas92 Pavarde92 8 4 4 2 10 8
Vardas93 Pavarde93 1 5 3 9 2 9
Vardas94 Pavarde94 9 9 7 7 5 5
Vardas95 Pavarde95 8 5 6 8 4 1
Vardas96 Pavarde96 9 8 5 4 8 10
Vardas97 Pavarde97 8 7 1 6 6 5
Vardas98 Pavarde98 3 7 7 4 7 3
Vardas99 Pavarde99 8 4 10 2 4 10
Vardas100 Pavarde100 3 10 3 7 5 3
Vardas101 Pavarde101 5 1 9 7 4 10
Vardas102 Pavarde102 2 6 7 8 7 10
Vardas103 Pavarde103 1 3 3 6 6 9
Vardas104 Pavarde104 2 8 5 9 6 3
Vardas105 Pavarde105 4 10 3 2 7 5
Vardas106 Pavarde106 1 8 7 4 6 4
Vardas107 Pavarde107 10 8 6 3 10 5
Vardas108 Pavarde108 4 4 4 9 6 5
Vardas109 Pavarde109 9 7 2 8 5 6
Vardas110 Pavarde110 3 9 8 9 5 6
Vardas111 Pavarde111 8 3 5 8 6 3
Vardas112 Pavarde112 4 5 6 9 5 3
Vardas113 Pavarde113 7 9 4 2 4 2
Vardas114 Pavarde114 2 2 10 3 5 10
Vardas115 Pavarde115 10 4 3 2 9 2
Vardas116 Pavarde116 6 10 6 4 2 5
Vardas117 Pavarde117 9 6 9 5 1 7
Vardas118 Pavarde118 7 1 2 2 1 6
Vardas119 Pavarde119 8 3 6 6 3 3
Vardas120 Pavarde120 6 4 4 3 9 5
Vardas121 Pavarde121 1 2 7 3 3 7
Vardas122 Pavarde122 5 2 1 5 1 10
Vardas123 Pavarde123 8 8 7 1 4 9
Vardas124 Pavarde124 2 7 4 4 1 7
Vardas125 Pavarde125 8 7 9 1 6 4
Vardas126 Pavarde126 6 2 4 6 8 1
Vardas127 Pavarde127 6 7 6 5 8 5
Vardas128 Pavarde128 7 5 4 6 7 3
Vardas129 Pavarde129 10 6 8 5 8 8
Vardas130 Pavarde130 7 10 8 10 10 10
Vardas131 Pavarde131 5 3 5 7 1 9
Vardas132 Pavarde132 2 1 6 3 7 9
Vardas133 Pavarde133 8 7 8 4 2 5
Vardas134 Pavarde134 8 4 10 5 2 6
Vardas135 Pavarde135 4 3 3 10 3 6
Vardas136 Pavarde136 4 9 9 7 7 1
Vardas137 Pavarde137 8 1 2 3 7 4
Vardas138 Pavarde138 4 2 7 5 7 8
Vardas139 Pavarde139 3 2 9 6 10 9
Vardas140 Pavarde140 10 4 5 8 4 9
Vardas141 Pavarde141 9 2 10 4 8 1
Vardas142 Pavarde142 4 8 5 5 4 9
Vardas143 Pavarde143 9 7 9 4 7 3
Vardas144 Pavarde144 10 7 8 9 2 8
Vardas145 Pavarde145 2 9 8 7 2 7
Vardas146 Pavarde146 9 9 3 9 4 5
Vardas147 Pavarde147 10 4 8 1 10 2
Vardas148 Pavarde148 1 9 6 2 10 3
Vardas149 Pavarde149 6 8 7 10 8 7
Vardas150 Pavarde150 6 8 10 7 1 1
Vardas151 Pavarde151 4 1 2 4 3 8
Vardas152 Pavarde152 3 8 3 5 4 3
Vardas153 Pavarde153 2 1 4 1 3 2
Vardas154 Pavarde154 9 5 2 4 3 7
Vardas155 Pavarde155 7 9 9 9 9 9
Vardas156 Pavarde156 10 10 3 1 9 10
Vardas157 Pavarde157 6 2 10 2 10 2
Vardas158 Pavarde158 1 6 1 10 9 10
Vardas159 Pavarde159 2 5 8 10 6 10
Vardas160 Pavarde160 9 9 5 2 4 7
Vardas161 Pavarde161 4 6 4 5 6 3
Vardas162 Pavarde162 5 6 3 4 1 2
Vardas163 Pavarde163 8 4 9 5 7 1
Vardas164 Pavarde164 3 2 7 4 9 6
Vardas165 Pavarde165 3 8 4 4 7 7
Vardas166 Pavarde166 2 2 7 6 9 6
Vardas167 Pavarde167 5 10 9 5 3 5
Vardas168 Pavarde168 8 10 9 4 1 7
Vardas169 Pavarde169 9 8 9 5 9 5
Vardas170 Pavarde170 3 2 6 2 10 5
Vardas171 Pavarde171 5 5 5 4 8 4
Vardas172 Pavarde172 3 10 10 2 8 5
Vardas173 Pavarde173 4 5 8 9 3 9
Vardas174 Pavarde174 4 1 8 7 9 2
Vardas175 Pavarde175 3 7 5 2 9 9
Vardas176 Pavarde176 9 2 3 9 2 1
Vardas177 Pavarde177 10 7 10 4 4 2
Vardas178 Pavarde178 10 1 2 5 4 7
Vardas179 Pavarde179 3 1 6 4 6 7
Vardas180 Pavarde180 9 5 9 7 4 8
Vardas181 Pavarde181 7 8 7 9 4 9
Vardas182 Pavarde182 4 2 9 8 4 4
